full_name,first_name,middle_names,last_name,date_of_birth,age_at_offense,date_of_death,location,last_known_full_address,crime,flat_or_suite,unit_or_box,house_number,street,city,state,zip_code
Daniel Vincent,Daniel,,Vincent,13/11/1972,56,11/08/2032,Johnathanfurt,"2761 Shaffer Path Suite 470, Jessicastad, CA 44199",Theft,Suite 470,,2761,Shaffer Path,Jessicastad,CA,44199
Mr. Anthony Bailey Jr.,Mr.,Anthony Bailey,Jr.,24/05/1978,49,18/08/1984,Heatherberg,"8958 Melanie Roads Apt. 138, West Vickihaven, OR 37643",Murder,Apartment 138,,8958,Melanie Roads,West Vickihaven,OR,37643
Lisa Juarez,Lisa,,Juarez,25/03/1995,27,05/11/2040,Griffinhaven,"4058 Green Stravenue, Tinamouth, IL 19390",Theft,,,4058,Green Stravenue,Tinamouth,IL,19390
Erik Gonzalez,Erik,,Gonzalez,20/06/1998,18,01/04/2022,Bryantchester,"695 Ford Common Apt. 460, Reedview, VT 38522",Highway Robbery,Apartment 460,,695,Ford Common,Reedview,VT,38522
Betty Williamson,Betty,,Williamson,25/04/2002,18,27/04/2020,West Josephbury,"50523 Collins Ways Suite 925, New Nathan, SD 80864",Murder,Suite 925,,50523,Collins Ways,New Nathan,SD,80864
Amanda Thomas,Amanda,,Thomas,09/09/1979,18,18/11/1985,South Matthewfurt,"982 Reynolds Manor Apt. 344, Christianchester, WA 74443",Assault,Apartment 344,,982,Reynolds Manor,Christianchester,WA,74443
Edward Chase,Edward,,Chase,16/04/1973,38,25/09/2002,North Amanda,"60504 Rebecca Spring Apt. 865, Lake Brandonton, FL 57022",Assault,Apartment 865,,60504,Rebecca Spring,Lake Brandonton,FL,57022
Allison Walker,Allison,,Walker,09/12/1988,39,15/11/2016,Dominiqueland,"17413 Wolf Knolls Suite 703, Davidberg, UT 19194",Murder,Suite 703,,17413,Wolf Knolls,Davidberg,UT,19194
Melinda Flynn,Melinda,,Flynn,13/06/1964,47,15/08/1987,Port Daniellechester,"026 Christopher Ridge Suite 278, Lake Ryan, VA 73495",Highway Robbery,Suite 278,,026,Christopher Ridge,Lake Ryan,VA,73495
Adam Hodge,Adam,,Hodge,26/02/1996,18,01/11/2028,Charlesshire,"PSC 9561, Box 9783, APO AA 74659",Assault,,,,PSC 9561,Box 9783,,
Angela Quinn,Angela,,Quinn,06/06/1995,38,01/03/2013,West Jill,"259 Peters Wall, Davidshire, TN 91796",Burglary,,,259,Peters Wall,Davidshire,TN,91796
Emily Miller,Emily,,Miller,12/02/1969,47,23/02/1979,North Derekfurt,"52248 Christian Springs Apt. 324, Lake Jennifer, MT 80242",Forgery,Apartment 324,,52248,Christian Springs,Lake Jennifer,MT,80242
Joseph Wilson,Joseph,,Wilson,30/08/1984,47,02/10/1988,Williamport,"7707 Kenneth Walk Apt. 149, Campbellshire, VA 78900",Forgery,Apartment 149,,7707,Kenneth Walk,Campbellshire,VA,78900
Jody York,Jody,,York,03/02/1966,57,03/08/1966,Port Michelle,"908 Donald Centers Suite 812, Wolfport, NV 69493",Theft,Suite 812,,908,Donald Centers,Wolfport,NV,69493
David Maynard,David,,Maynard,31/03/1970,42,07/11/1995,Bettyborough,"9761 Joan Shores Apt. 266, New Shelbyside, TX 75573",Theft,Apartment 266,,9761,Joan Shores,New Shelbyside,TX,75573
Justin Allen,Justin,,Allen,30/06/2001,30,12/08/2025,Seanberg,"04491 Scott Spur, West Brian, AL 04434",Counterfeiting,,,04491,Scott Spur,West Brian,AL,04434
Donna Casey,Donna,,Casey,02/11/1986,23,22/07/1991,Lucasburgh,"7333 Zachary Ports, South Julie, KS 28095",Smuggling,,,7333,Zachary Ports,South Julie,KS,28095
Terry Crane,Terry,,Crane,15/09/1971,23,06/03/1999,New Brandon,"398 Brian Street, West Richardside, CO 59577",Murder,,,398,Brian Street,West Richardside,CO,59577
Michelle Williams,Michelle,,Williams,05/11/2004,36,27/03/2035,Johnmouth,"3603 Edward Island, New Meganhaven, MO 75910",Murder,,,3603,Edward Island,New Meganhaven,MO,75910
Rachel Stewart,Rachel,,Stewart,11/02/1998,53,13/06/2018,New Emma,"USS Mckinney, FPO AE 78987",Theft,,,,USS Mckinney,FPO AE 78987,,
Charles Benson,Charles,,Benson,08/06/2003,58,19/01/2009,Ronaldborough,"388 Hall Wall, New Pamelaport, SC 76376",Pickpocketing,,,388,Hall Wall,New Pamelaport,SC,76376
Michael Crane,Michael,,Crane,08/05/1984,32,29/11/1989,Port Leslie,"5104 Sanford Trail, North Richard, CT 19269",Forgery,,,5104,Sanford Trail,North Richard,CT,19269
Michelle Hardin,Michelle,,Hardin,25/01/1975,28,24/12/2054,Jamesmouth,"705 Mcguire Center, Lake Georgeborough, SD 72851",Assault,,,705,Mcguire Center,Lake Georgeborough,SD,72851
Stephen Reed,Stephen,,Reed,25/04/1983,23,28/08/2044,West Stephanie,"61740 Martin Circles, Port Heathermouth, ID 06319",Murder,,,61740,Martin Circles,Port Heathermouth,ID,06319
Jennifer Kent,Jennifer,,Kent,08/03/1966,60,12/08/2040,Castroview,"6343 Torres Cliffs Suite 183, Chanview, IA 32340",Highway Robbery,Suite 183,,6343,Torres Cliffs,Chanview,IA,32340
Jennifer Poole,Jennifer,,Poole,07/01/1997,47,08/11/2025,New Paul,"84270 Shawn Point Apt. 027, Jenningsborough, AL 27683",Assault,Apartment 027,,84270,Shawn Point,Jenningsborough,AL,27683
Samantha Dennis,Samantha,,Dennis,06/07/2002,26,02/06/2007,Jamietown,"083 Tyler Fields, New Williamberg, MA 11594",Burglary,,,083,Tyler Fields,New Williamberg,MA,11594
Kevin Johnson,Kevin,,Johnson,16/03/1987,21,13/09/1994,New Jeremy,"747 Rogers Hollow, Lake Aaron, CO 45188",Murder,,,747,Rogers Hollow,Lake Aaron,CO,45188
Joseph Campbell,Joseph,,Campbell,24/09/1975,49,07/05/2003,Josephburgh,"98137 House Road, Chambersborough, NV 40591",Highway Robbery,,,98137,House Road,Chambersborough,NV,40591
Emma Cummings,Emma,,Cummings,30/09/1980,45,26/03/2010,Kingfort,"6395 Smith Crest, North Williamfort, IA 76540",Pickpocketing,,,6395,Smith Crest,North Williamfort,IA,76540
Keith Mata,Keith,,Mata,12/04/2001,48,04/12/2003,Thomasburgh,"066 Alec Valleys, Lake Paulshire, IA 03168",Murder,,,066,Alec Valleys,Lake Paulshire,IA,03168
Dennis Walker,Dennis,,Walker,22/09/1998,35,08/12/1999,Taylorland,"2316 Long Mountain, Charlesmouth, LA 70230",Assault,,,2316,Long Mountain,Charlesmouth,LA,70230
Bonnie James,Bonnie,,James,07/08/1988,37,01/06/2003,West Kimberly,"6569 Harper Springs Suite 600, Sarahfurt, MD 04975",Pickpocketing,Suite 600,,6569,Harper Springs,Sarahfurt,MD,04975
Nicholas Newman,Nicholas,,Newman,19/05/1989,33,16/12/2009,Allenborough,"539 Cynthia Crescent Apt. 329, South Jared, KS 97738",Assault,Apartment 329,,539,Cynthia Crescent,South Jared,KS,97738
Carlos Fleming,Carlos,,Fleming,26/07/1965,30,12/09/2003,Ortegatown,"53156 Cowan Parkways, North Spencerfurt, MD 67389",Smuggling,,,53156,Cowan Parkways,North Spencerfurt,MD,67389
